geo_fips,cal_yr,cty_pop,real_inc_pc,real_earn_pj
55071,1996,82480,37774.00103425986,47377.27705235941
55071,1997,82345,38553.4634880803,48357.44818067754
55071,1998,82642,40249.70530864198,50439.544567901234
55071,1999,82803,40411.74936247723,51542.42367941712
55071,2000,82936,41272.08233904312,51066.88292971057
55071,2001,82788,41162.10785876994,50727.83564920274
55071,2002,82338,41808.82442318514,52413.598874507596
55071,2003,82010,41620.97743702081,52771.7821467689
55071,2004,81846,43281.150187869025,55628.93419216317
55071,2005,81827,42987.6245302714,53967.212004175366
55071,2006,81869,43076.06322127445,52527.60341194179
55071,2007,81872,44207.67785604388,53006.46627702925
55071,2008,81698,45525.94200985983,53417.13782084515
55071,2009,81600,45854.93226632946,55038.619563730055
55071,2010,81329,45538.17277275068,55839.18211579489
55071,2011,81029,46928.50890875141,56888.74997174336
55071,2012,80723,46984.55078519324,56493.694051140694
55071,2013,80492,45444.51063756317,55737.92298827256
55071,2014,79959,47344.58535921934,57424.00997925946
55071,2015,79495,49146.10836347216,58486.900961460626
55071,2016,79365,48570.58037985594,56489.921497559146
55071,2017,79140,49035.37578420873,56667.74997230394
55071,2018,79074,49591.840958780784,55124.698893961795
55073,1980,111246,30172.43923076923,47586.37974358974
55073,1981,110887,29235.9747706422,45076.82729357798
55073,1982,111023,28275.536652542367,42568.213135593214
55073,1983,110953,28575.94872318692,42246.6149131767
55073,1984,111241,29823.87169441724,43094.417238001966
55073,1985,111260,30656.824976348154,43847.58505203406
55073,1986,111458,31227.9636032757,44015.885350318465
55073,1987,112058,32543.01382405745,45846.454757630156
55073,1988,113201,32874.6024137931,46371.17293103448
55073,1989,114318,34665.223267326735,47516.53316831683
55073,1990,115743,34759.01850980392,47216.88784313726
55073,1991,116972,33980.93318485523,45484.68478099481
55073,1992,118417,35334.63788864786,47216.403470715835
55073,1993,120044,35460.877450980384,47363.3350140056
55073,1994,120760,36365.713738892686,48006.421872863975
55073,1995,121649,36834.98724252492,47378.677740863786
55073,1996,122560,37944.65158371041,48193.72281835812
55073,1997,123583,38800.26800501882,48672.448682559596
55073,1998,124597,40543.6737037037,49166.21407407407
55073,1999,125404,41502.34486945962,50316.68233151184
55073,2000,125995,42887.987477849965,51103.573301831064
55073,2001,126459,43199.062528473805,51993.9312072893
55073,2002,126880,44018.33449634215,53440.431176139566
55073,2003,127311,44204.9251916758,54003.515881708656
55073,2004,127855,44845.462157809976,54903.73805689747
55073,2005,128958,45331.32338204593,54707.46962421712
55073,2006,130516,44995.46091319618,54174.28559959859
55073,2007,131773,45828.50730201487,54376.66511008322
55073,2008,133036,45441.77250747028,53475.69051815962
55073,2009,133793,45385.97802135581,53545.049142889504
55073,2010,134049,44442.1434745825,53616.182410064
55073,2011,134323,46221.743682947,54819.94050283244
55073,2012,134363,47261.725669542924,55876.866337198575
55073,2013,134880,46566.128393164676,55119.0223542056
55073,2014,135131,48181.69570908844,55909.29125157254
55073,2015,135289,49701.79290896156,56526.56937042858
55073,2016,135057,50529.46646091487,55981.69938652886
55073,2017,135415,50937.36300709429,56961.91550035492
55073,2018,135428,52125.783792039096,57225.91585750112
55075,1980,39515,27962.514615384614,46501.32666666667
55075,1981,40229,26956.459174311924,44189.35963302752
55075,1982,40197,26411.155296610166,42557.24618644067
55075,1983,39660,27534.323799795704,43140.19162410622
55075,1984,40050,28665.392360430953,44154.032908912835
55075,1985,40512,29540.250520340585,45745.27190160832
55075,1986,40666,29638.304822565966,45047.397270245674
55075,1987,40851,30038.454039497305,45811.604667863554
55075,1988,40594,29768.762413793105,44836.1025862069
55075,1989,40418,31224.967326732673,45284.95808580858
55075,1990,40639,30857.43388235294,43946.62101960785
55075,1991,41017,30287.89651076466,43021.379361544175
55075,1992,41213,30873.12754880694,43924.5424439624
55075,1993,41618,31007.650980392154,44171.584173669464
55075,1994,42137,31663.433766233764,45013.0969241285
55075,1995,42612,32159.029900332225,44733.72651162791
55075,1996,42757,32781.63594053006,44588.311700064645
55075,1997,43028,33593.017440401505,44765.79297365119
55075,1998,43163,34812.88765432099,44419.583086419756
55075,1999,43226,35559.070795385545,44649.985792349726
55075,2000,43418,36019.24406379208,44450.385823981094
55075,2001,43157,36239.221753986334,45583.86184510251
55075,2002,43122,37477.19425998875,47848.9287563309
55075,2003,42946,38050.50876232202,48608.83395399781
55075,2004,42680,38474.2945786366,49432.813955984966
55075,2005,42850,37772.0503131524,48528.75
55075,2006,42389,37910.05238334169,47262.89553437029
55075,2007,42190,38804.48895726933,46897.18605760014
55075,2008,42019,39365.710313233474,47003.17776918944
55075,2009,41792,38953.73320813654,45555.72968815616
55075,2010,41662,40150.84961009343,47655.258680938714
55075,2011,41408,41458.09925538119,49042.95388065302
55075,2012,41347,42411.165193423505,49292.82687125288
55075,2013,41287,42258.401236193175,49570.142481623276
55075,2014,41047,42904.93046819217,50446.62371221652
55075,2015,40653,44576.0439963024,51595.97157791153
55075,2016,40259,44505.891761658684,51483.87929040857
55075,2017,40290,44829.97689943664,52170.30949831156
55075,2018,40434,45783.64526397016,52114.34152144556
55077,1980,11724,25706.13512820513,30610.44230769231
55077,1981,11909,24602.740596330274,27861.735550458714
55077,1982,11992,23984.717796610166,26073.921610169487
55077,1983,11960,24697.61430030643,25789.469867211435
55077,1984,12113,26115.21684622919,29164.780607247798
55077,1985,12036,26761.05752128666,29988.349479659413
55077,1986,12082,27525.82493175614,31376.331756141943
55077,1987,12080,28704.857271095152,33363.152603231596
55077,1988,12136,28340.79,31132.029827586208
55077,1989,12189,31092.567656765677,36452.61881188119
55077,1990,12393,29862.753098039215,33526.83231372549
55077,1991,12640,28900.60593912398,32132.493392724573
55077,1992,12982,29258.075777295733,33341.55545914678
55077,1993,13432,28727.5700280112,33086.548319327725
55077,1994,13732,29416.670950102525,33333.46848940533
55077,1995,14211,28879.496744186046,31809.923853820597
55077,1996,14757,28987.170782159017,32664.522818358113
55077,1997,15263,28759.221079046423,33157.86210790464
55077,1998,15458,29686.014938271604,35261.828518518516
55077,1999,15646,29743.08524590164,36390.37486338798
55077,2000,14602,32787.43378617838,36422.83815711754
55077,2001,14624,33665.76093394078,34632.65113895217
55077,2002,14798,34673.43230163197,36247.908497467644
55077,2003,14931,34889.67305585981,36847.12332968237
55077,2004,15157,35730.49694041868,37428.17831454643
55077,2005,15390,35389.17724425888,36804.85240083507
55077,2006,15437,35220.55805318615,35789.36467636728
55077,2007,15395,36351.61676587838,35214.23723314834
55077,2008,15485,36301.45248710964,33695.8574566158
55077,2009,15405,36640.71409360506,33464.28182491637
55077,2010,15379,37403.04108732435,34684.983631280804
55077,2011,15368,39063.99056002387,36664.03115915492
55077,2012,15243,38788.58033198444,36225.84861439067
55077,2013,15180,39610.75772944462,36568.76056958119
55077,2014,15071,40006.39463126041,36048.54569718813
55077,2015,15118,41510.95860649976,35830.627697052565
55077,2016,15129,41697.06677542919,36219.80363877945
55077,2017,15283,41952.03978384766,37054.23684026965
55077,2018,15434,42837.780689344734,37243.55057552569
55078,1980,NA,NA,NA
55078,1981,NA,NA,NA
55078,1982,NA,NA,NA
55078,1983,NA,NA,NA
55078,1984,NA,NA,NA
55078,1985,NA,NA,NA
55078,1986,NA,NA,NA
55078,1987,NA,NA,NA
55078,1988,NA,NA,NA
55078,1989,3861,19994.485643564356,36463.29620462046
55078,1990,4077,19704.829333333335,36730.11043137255
55078,1991,4119,20488.475575352637,36009.989755011135
55078,1992,4300,22719.268257411422,40421.208821402746
55078,1993,4300,24036.9106442577,42817.67282913165
