"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: Manufacturing (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"26083","Keweenaw, MI",2290,1577,1918,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"26085","Lake, MI",4183,4599,5128,5568,5597,6582,7972,"(D)","(D)","(D)",5089,"(D)",4759,4195,3599,3442,4066,3833
"26087","Lapeer, MI",351704,381487,407564,421420,435260,421971,438923,398017,299003,402783,444546,465374,446788,419063,413777,397349,426776,450041
"26089","Leelanau, MI",15280,15092,15064,15131,15247,18630,18690,19851,21081,20837,20835,17900,19700,21610,23622,24133,25940,28223
"26091","Lenawee, MI",701138,793349,830611,797252,790125,761571,740137,690218,527202,636396,712799,716872,721281,670549,674245,684702,719914,760431
"26093","Livingston, MI",897465,1058936,1023236,1049923,1042392,1239795,1029667,939593,757406,1092252,1195418,1019600,1203423,1322425,1316123,1379558,1410507,1478317
"26095","Luce, MI",17840,19055,21135,17578,"(D)","(D)",1334,1929,2324,2844,"(D)",5590,"(D)","(D)",6636,6622,7235,7043
"26097","Mackinac, MI","(D)",8526,8899,9233,9536,10542,9714,9507,9412,9338,6956,5639,5410,5395,5329,5991,6529,6953
"26099","Macomb, MI",8467406,8815092,9213318,8809551,9594722,9326407,10192838,8432109,5101004,7209706,7974546,8206048,8672990,8894914,8497148,8632402,8703572,9250630
"26101","Manistee, MI",129148,132715,127390,128873,128883,132901,113413,112235,114570,116761,109739,99033,101051,92307,98289,97231,102226,110488
"26103","Marquette, MI",47927,49564,53336,54856,59552,62085,66919,75429,82424,85395,86602,94645,95046,89516,91283,95959,107495,115717
"26105","Mason, MI",189495,204289,209421,212013,178994,178302,173856,168098,148199,164584,162017,163584,176055,167604,172318,178002,188482,198397
"26107","Mecosta, MI",85173,97920,109908,103606,107128,113710,128258,179206,131079,237231,213430,187690,188131,186002,185713,199254,196703,195711
"26109","Menominee, MI",157389,159953,162275,171558,178835,170865,179180,173551,125909,157109,169141,173900,176314,178231,167198,167031,177819,190131
"26111","Midland, MI",1686291,1939793,1656977,1646421,1432937,1357767,1462992,1194275,1091238,1077570,1097597,1070270,1198026,1655755,1780837,1408011,1318255,1382616
"26113","Missaukee, MI",30445,31342,32022,31845,35527,31309,36930,28998,25311,30736,48910,34018,33013,29325,32440,34101,40937,44597
"26115","Monroe, MI",971572,1175153,1172561,1142574,1052002,1039425,1030359,831318,553489,654910,674178,681425,720611,730890,749114,750833,804652,828562
"26117","Montcalm, MI",419483,413872,422921,431601,405645,275337,224567,225036,198171,263858,284245,298264,308731,298213,298347,295582,317711,328054
"26119","Montmorency, MI",16112,17489,18013,18352,18972,17368,17922,17665,13324,18060,20632,18277,19587,19965,20962,20068,21211,23048
"26121","Muskegon, MI",1218074,1266866,1227763,1320583,1320786,1321846,1295508,1248378,1150568,1300397,1432106,1564069,1644359,1674421,1711752,1687699,1651586,1672539
"26123","Newaygo, MI",232897,223371,243981,249139,277351,337413,275474,249084,150199,169369,195650,279560,296773,268329,272461,277500,287018,296152
"26125","Oakland, MI",9206435,10168699,10798915,10104904,10415388,9794464,10435547,9520656,6652966,10551537,13766731,16832205,17964957,17044266,16868141,17916820,18367172,18824551
"26127","Oceana, MI",80062,83250,87727,99366,110988,161485,162899,163995,152025,169946,175222,153072,175495,173971,173269,173247,185452,202368
"26129","Ogemaw, MI",43748,41307,40573,37177,35521,30114,26293,24944,20371,21532,23678,23837,20732,18538,18749,16753,19716,20199
"26131","Ontonagon, MI",33449,"(D)","(D)","(D)",41974,41184,36374,32266,"(D)",17624,4650,1075,"(D)","(D)","(D)","(D)","(D)","(D)"
"26133","Osceola, MI",249386,272605,399560,294050,300458,290715,232005,185730,156383,164060,173003,163869,160618,151486,167005,167354,175391,182126
"26135","Oscoda, MI",23177,19337,19219,21440,22643,23555,22280,13741,7478,11617,15935,15492,14965,19910,21187,22828,25473,25723
"26137","Otsego, MI",332268,80723,113714,111984,111994,85890,70807,58771,46331,53565,61987,61769,61852,65964,75968,80006,81910,83304
"26139","Ottawa, MI",3739610,3927396,3936330,4148401,4282605,4260631,4069477,4135306,3432201,3917991,4076388,3870527,4048744,4110939,4209768,4354029,4581164,4800273
"26141","Presque Isle, MI",12606,12499,12277,10473,11583,10294,11797,9929,15859,18086,14343,10290,9002,8904,9703,10816,12214,12052
"26143","Roscommon, MI","(D)","(D)","(D)",33437,33093,31636,"(D)",23101,"(D)",40970,56328,"(D)",63958,56123,53539,53285,55270,56849
"26145","Saginaw, MI",1850769,1937860,2074824,1800301,1748946,1662942,1526522,1397410,1124279,1562411,1674633,1648495,1846791,1883247,1912155,1980631,1992565,2065507
"26147","St. Clair, MI",703449,779292,791420,825901,822635,798573,784318,682535,457587,588554,643963,711958,759094,755735,787212,827318,877204,884633
"26149","St. Joseph, MI",678387,745989,805554,844787,890854,926883,952538,842775,633619,804989,781849,737529,738940,741581,746044,763322,730311,744484
"26151","Sanilac, MI",217532,229376,232580,238651,234413,216812,218180,191604,144598,180686,188032,201180,204811,210543,214454,213115,240805,259646
"26153","Schoolcraft, MI",21258,23943,22973,27816,25178,24637,25042,22754,24619,25605,21894,24431,26782,25160,17208,15384,18284,19113
"26155","Shiawassee, MI",191556,192919,200361,208612,200829,190072,193444,183250,152557,205866,210908,194465,203677,201122,226132,215306,236055,246035
"26157","Tuscola, MI",178931,183892,177606,194723,197739,231318,248348,217016,158616,147121,214480,161837,223128,212909,264183,199250,173840,184504
"26159","Van Buren, MI",316311,355899,353068,360130,344082,368289,377447,346321,268206,291560,265506,209399,200258,187952,188835,184557,208635,223942
"26161","Washtenaw, MI",2491452,2815858,2786733,2602148,2722913,2757765,2802491,2251449,1570218,1768309,1889718,1817180,1898113,1813189,1722983,1805193,1813621,1925191
