"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: Retail trade (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"26141","Presque Isle, MI",32529,32915,32449,27751,26878,25978,23846,24027,24140,23451,20164,20291,21883,22227,20671,20570,20696,22290
"26143","Roscommon, MI",70178,75631,76736,76300,77639,74761,69494,68041,68735,69194,68692,64442,63437,64190,64673,67270,69082,75841
"26145","Saginaw, MI",646088,643336,651258,623498,620540,607004,597167,596375,599629,604165,611986,598241,594272,591437,587690,612704,614961,653051
"26147","St. Clair, MI",364229,374115,392562,387645,396290,391050,370466,349505,345620,341372,353630,344818,335252,335763,342226,359924,360760,372865
"26149","St. Joseph, MI",128806,125165,134226,136606,131333,129675,133218,138845,140957,142203,141625,137172,140463,131691,133988,140552,145009,152603
"26151","Sanilac, MI",78743,82572,83937,91287,101491,94296,93741,96185,98081,98520,98991,96912,92595,93391,93227,97606,83763,88930
"26153","Schoolcraft, MI",21415,21178,21492,21538,21392,21598,20414,20807,22807,23166,22524,21504,20910,20725,19300,19917,20596,22582
"26155","Shiawassee, MI",162245,158020,152223,156155,152914,152343,146158,142542,145406,146046,140696,139805,137949,141571,138838,139920,143232,151228
"26157","Tuscola, MI",104162,101996,109570,102947,104870,95734,90253,85279,87183,86486,84246,78147,79373,82124,81115,84226,83382,88776
"26159","Van Buren, MI",134242,148659,149412,145757,146162,137046,137978,130411,139335,140143,122329,115364,106566,114934,119021,119521,120900,127227
"26161","Washtenaw, MI",1096818,1133868,1129350,1122006,1103583,1042377,985181,992586,1006356,1007554,993977,912075,909091,926259,958799,1001425,1014395,1046831
"26163","Wayne, MI",4919653,4917838,5074178,4842126,4776708,4560708,4389664,4290255,4248455,4192668,4137869,3984875,3951001,4024689,4361499,4600772,4769781,4923982
"26165","Wexford, MI",103688,111428,118704,116562,116803,114652,107740,101745,99765,97338,92569,85926,88874,91928,92279,95400,95105,98177
"39001","Adams, OH",57120,61126,67336,72464,73601,68933,65241,57850,61954,59587,55251,48498,50336,51310,52419,54169,56026,54739
"39003","Allen, OH",352545,374211,418481,432203,420385,384533,374611,363531,355460,346635,340847,335675,345846,349680,358737,365379,374226,381401
"39005","Ashland, OH",96234,99050,105476,108722,108506,101819,98151,94543,93235,93664,96370,96532,100962,105313,104859,109467,115255,117424
"39007","Ashtabula, OH",183272,190326,202763,218052,228710,224691,225721,215154,202649,200072,198672,191523,199997,199737,205786,207117,215549,217292
"39009","Athens, OH",128022,134138,146636,145991,149974,146316,157298,154286,163748,166452,154652,146240,150261,147093,151031,151840,158016,160790
"39011","Auglaize, OH",92023,94849,101404,99999,104907,102187,100400,98416,94518,92661,94062,96028,99852,103421,107542,111093,119085,118096
"39013","Belmont, OH",233588,239467,241986,236828,231346,216932,209644,200903,200238,201063,204986,204173,217366,226391,233830,228506,234887,235398
"39015","Brown, OH",42554,46183,50133,51564,53439,49105,46292,45545,48259,53478,54820,55733,55856,54193,54366,55835,61510,62313
"39017","Butler, OH",865361,913036,1026288,1070012,1126099,1058704,1083405,1065408,1105410,1087127,1104259,1112185,1164353,1240585,1295936,1372952,1456549,1479720
"39019","Carroll, OH",36148,35441,38664,40806,42467,45003,44474,43325,41841,43735,46109,44838,43082,45171,46800,45698,47183,48468
"39021","Champaign, OH",66191,68627,75057,74074,69682,62746,61506,60486,59545,56256,55769,55902,57723,57982,57878,58528,60422,62496
