cty_fips,cal_yr,cty_pop,real_inc_pc,real_earn_pj,real_inflow_pc,real_outflow_pc
19105,1990,19480,30008.910274509803,37249.78039215686,5.422121125739824,1.903557168740186
19105,1991,19607,27822.669636228657,34515.09769858946,5.748783506822197,2.36656392394138
19105,1992,19818,29127.075054229932,38254.08257411424,6.295166156638571,3.205375015314707
19105,1993,19939,27524.09327731092,34850.076750700275,6.889621279074846,3.3227767239098855
19105,1994,20095,29291.06452494873,38322.343403964456,7.612652008224092,3.6603165517448986
19105,1995,20521,28709.243056478404,34473.79215946844,8.120319996321733,3.892594646987504
19105,1996,20522,30946.306011635425,38068.45688429218,8.731838428773711,4.425880441611622
19105,1997,20587,31186.67340025094,37006.06411543287,9.541399540792666,4.85244939324429
19105,1998,20369,31908.352098765434,36198.053950617286,11.15306880644698,5.885570586869783
19105,1999,20220,32818.43885853066,36773.81190042501,12.490335111586754,6.714080692227633
19105,2000,20259,34805.40425280567,37422.65079740106,13.72696951909278,7.0928109044576795
19105,2001,20254,34878.795444191346,37748.513781321184,13.12823284941831,6.64027200791407
19105,2002,20283,34622.45481148002,38153.01012943163,12.645545552935808,6.253189961926195
19105,2003,20406,34013.71051478642,38728.03318729463,12.33733230749842,6.035857288714882
19105,2004,20613,35955.5578099839,40991.642082662365,12.730982993368134,5.723934712911839
19105,2005,20605,35818.742797494786,38864.87588726514,12.907702784100382,5.417697626951726
19105,2006,20678,36890.61585549422,38498.33868539889,12.993926168808157,5.06106135959852
19105,2007,20803,39276.488740986155,39231.96045950343,13.35961583823771,4.740844219639218
19105,2008,20848,40426.977952058216,38493.51909282004,13.22453636262758,4.19000888843162
19105,2009,20562,40575.53330533707,38034.14324338353,13.06540909708517,4.109448097518536
19105,2010,20689,40825.60380342823,38214.650187596555,12.79510133247944,3.8764249384045173
19105,2011,20739,42789.71982982725,41844.2458191485,12.668883393258563,3.8901450688082506
19105,2012,20597,42832.607333151915,41275.20255264612,12.54555662404977,3.807573374471467
19105,2013,20517,43886.08756080611,43868.21317426266,12.293813491718069,3.6360027971071984
19105,2014,20542,42659.62743531332,39767.691679983676,12.305940289614504,3.7752389652871896
19105,2015,20444,44493.35284369981,40471.25518110987,12.91088627995816,3.917812216766251
19105,2016,20424,44694.16247944935,39626.088879731906,13.700352231630266,3.8472029862638784
19105,2017,20684,44148.19253478419,39511.63406738143,13.484660085864288,3.7734211071789847
19105,2018,20744,45407.09054080123,39859.6697157739,13.718198508847504,3.7444221757885914
19107,1990,11601,32118.039529411766,33999.81317647059,5.38208204498936,1.804584567591367
19107,1991,11617,30772.10319227914,31792.395842613216,5.500717205329543,1.7267789525104613
19107,1992,11592,31685.332031814894,33393.9557483731,6.060866047195387,1.6706047055665088
19107,1993,11600,28789.19383753501,27901.085994397756,6.335502607939727,1.5455951415048776
19107,1994,11490,31819.114969241284,33080.48653451811,6.877952191182917,1.5646336586779075
19107,1995,11597,29784.076943521595,25796.013289036546,7.00661568735413,1.52339653656562
19107,1996,11486,33788.808791208794,32575.851454427928,7.451792514109811,1.6223551090161081
19107,1997,11444,35694.10326223337,35658.38155583438,8.014710968298193,1.7938321550098082
19107,1998,11406,34137.07987654321,30617.44740740741,8.777013625057638,1.8144848390385828
19107,1999,11317,34559.62015786278,31624.126775956283,9.420586939315038,1.745730863922124
19107,2000,11418,36656.7392793857,34713.67832250443,9.620591749672048,1.7491498123655695
19107,2001,11369,35704.189521640095,30725.294533029613,9.664929770460416,1.8803506558116416
19107,2002,11330,36376.08047270681,32504.70422059651,9.89995585447274,1.9358719561167235
19107,2003,11186,36195.11237677985,33462.33603504929,10.268720141688613,1.9929469809410099
19107,2004,11061,39780.203327965646,40253.94256575416,10.878993303276035,1.9147761719363992
19107,2005,10881,37659.93100208769,34829.93152400835,11.389174671752624,1.912224302038431
19107,2006,10713,37584.09242348218,33403.75333667837,11.789754554456886,1.9165109246125085
19107,2007,10688,39809.55588216499,35205.3315768518,12.223970301285581,1.9213296391482435
19107,2008,10620,41712.69759725508,36340.487618652616,12.35319942341322,1.9539389791596447
19107,2009,10552,41370.55729876895,37184.16367436879,11.420375983044437,1.9960803893467314
19107,2010,10509,40391.238229235634,36258.22003972633,11.093702551460044,1.930521212433812
19107,2011,10398,45640.18355509139,45510.297892733295,11.089332021949003,2.0375624926620257
19107,2012,10428,46919.80091466893,48673.7272320292,11.263873515441306,2.068654636398395
19107,2013,10339,48803.77815857285,51907.21852217939,11.231352372523865,2.0059845377886707
19107,2014,10285,47061.88186392846,46373.273350107105,11.74495804659516,2.2678355257071394
19107,2015,10172,46821.93570098872,43458.05961311539,12.153507494914818,2.1022347682883953
19107,2016,10168,45268.76906322663,41140.96078241747,12.538972966739765,2.073685299223959
19107,2017,10149,43859.336853809946,38595.1544619374,12.610219741023872,2.069003965873101
19107,2018,10225,46298.54744067905,42589.17135553983,12.65379315853083,2.108999436981466
19109,1990,18551,33323.83623529412,36462.15560784314,2.017595652049834,1.1791740289884485
19109,1991,18230,29177.29547141797,29682.638158871567,2.0183183450271036,1.1303172976171423
19109,1992,18098,33085.168329718006,36401.35806218366,2.2214676709522436,1.263309153098895
19109,1993,17983,28096.83221288515,27527.71820728291,2.3946146695346098,1.275468186496085
19109,1994,17950,34644.374982911824,38407.260423786734,2.572445606292256,1.2992816531071918
19109,1995,17836,33364.56358803987,33968.19029900332,2.6150836227302428,1.341095719657656
19109,1996,17645,38219.03089851325,40124.62870071105,2.7473203375558652,1.4406483247221333
19109,1997,17552,38899.31455457967,39662.46010037641,2.883960897977717,1.5163112455093106
19109,1998,17321,38212.696049382714,36912.205432098766,3.2130183371216416,1.669138767541862
19109,1999,17258,36395.089253187616,35337.49447480267,3.466088147006856,1.7233464933732237
19109,2000,17206,40191.2451269935,40101.04796219728,3.5816614130470974,1.8094449325668958
19109,2001,16912,37406.564806378134,36171.4215261959,3.6821804226299126,1.9005280112731482
19109,2002,16670,38579.76454698931,38739.97951603827,3.8854554581486633,2.0615543407919428
19109,2003,16525,38648.65794085433,40783.28510405258,3.8812728565202916,2.167251298689463
19109,2004,16437,43358.949006977986,47901.84433709071,4.122237293021834,2.3105388517866374
19109,2005,16287,43867.01816283925,46961.781315240085,4.1522813960902,2.425398786870121
19109,2006,16045,43415.00963371801,43731.87907676868,4.170638299801876,2.549132590429857
19109,2007,15878,47607.09408809607,47445.52003814449,4.436081867110432,2.7274804341528633
19109,2008,15685,49866.16069829479,48346.23026384005,4.536496370006177,2.8612956738080486
19109,2009,15630,47992.09353899582,46665.83231492972,4.337767384137406,2.977063113468009
19109,2010,15525,49165.42282792614,48911.9437394247,4.097886060280387,3.055554323510976
19109,2011,15398,56717.909370803885,57374.358529208315,4.0557494889657715,3.471514861437781
19109,2012,15412,57342.258143801395,58756.53163156923,4.06217940703113,3.898330136952742
19109,2013,15333,55708.87711013945,57286.29172259894,3.912972851458197,4.037707695268878
19109,2014,15227,53503.561507599195,52599.35032810853,3.9748439166386214,4.2639523706095375
19109,2015,15159,55312.66325022257,51853.967974031606,4.0886453755125,4.427723286045975
19109,2016,15110,52334.90646562417,46678.07877154402,4.117348356345883,4.5036806211741816
19109,2017,14970,53779.19316256149,49538.74928708297,4.162962672062655,4.667557758993822
19109,2018,14908,55122.618481126614,49664.65540801234,4.133683176650455,4.59405894424392
19111,1990,38632,32804.16627450981,47594.46054901961,2.287699385656105,5.395170416478872
19111,1991,38913,31559.89977728285,45515.42806236081,2.3029019163702342,5.254041243395052
