"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"26011","Arenac, MI",368815,408851,396512,394990,407091,412259,411988,418057,375280,368550,375436,380633,355884,360010,375044,384314,397930,409206
"26013","Baraga, MI",254845,261673,265057,267693,274774,277605,274387,274562,255378,264290,259810,264736,272555,263597,257167,246983,255425,259101
"26015","Barry, MI",1120425,1142209,1204417,1211257,1207195,1241009,1265873,1217196,1147740,1221503,1274862,1304608,1332366,1425000,1436439,1357971,1438438,1434575
"26017","Bay, MI",3505165,3515564,3554596,3518732,3524988,3594459,3567083,3460179,3339571,3467132,3470794,3488302,3500495,3433571,3508955,3499875,3468934,3481282
"26019","Benzie, MI",450657,397793,419873,416573,409031,407935,395559,371025,364477,362030,355575,346331,352507,352127,361287,372819,375422,388078
"26021","Berrien, MI",6197441,6337146,6443191,6611345,6454990,6709433,6990645,6491827,5699468,6309528,6356546,6350415,6402786,6438339,6438915,6586651,6828838,6877563
"26023","Branch, MI",1221768,1296484,1290995,1287403,1296984,1329170,1253703,1266289,1220300,1285798,1262339,1204503,1204989,1147909,1184087,1245185,1260046,1313708
"26025","Calhoun, MI",5655488,5696856,5842840,5966054,6113337,6268001,6402080,6037654,5486404,5602590,5470798,5388060,5551262,5506730,5528791,5594998,5609810,5766360
"26027","Cass, MI",971351,1020558,1039526,1103651,1090896,1083382,1060073,961873,881141,962393,976877,922833,872462,857765,932658,993586,1001660,1021138
"26029","Charlevoix, MI",918151,925069,918644,946858,936253,911978,893558,857829,828919,858861,879588,906295,932975,963529,1034295,1085000,1097980,1116998
"26031","Cheboygan, MI",615161,622987,629307,642739,648226,660268,630911,596462,570245,557039,553293,542603,540437,537865,552905,566698,566697,588424
"26033","Chippewa, MI",1098351,1089867,1098413,1114254,1121771,1134558,1089616,1069140,1045468,1050929,1039291,1086804,1102090,1003483,1019592,1033661,1050263,1074455
