id,address,match.code,po_box,box,mi,mile,exception,rr,need_match,no_address
995701893,100 MCKINLEY ST CORYDON IA 50060,X,0,0,0,0,0,0,1,0
368850582,100 MCKINLEY ST CORYDON IA 50060,X,0,0,0,0,0,0,1,0
722396038,100 MEDICAL PARWAY DENISON IA 51442,X,0,0,0,0,0,0,1,0
145707840,100 N 13TH ST CLINTON IA 52732,X,0,0,0,0,0,0,1,0
415769567,100 N 18TH ST CENTERVILLE IA 52544,X,0,0,0,0,0,0,1,0
145392403,100 N 24TH ST CLARINDA IA 51632,X,0,0,0,0,0,0,1,0
439545999,100 N 24TH ST CLARINDA IA 51632,X,0,0,0,0,0,0,1,0
522959246,100 N 3RD ST AKRON IA 51001,4,0,0,0,0,0,0,1,0
898444112,100 N 4TH ST FAIRFIELD IA 52556,X,0,0,0,0,0,0,1,0
537890816,100 N 5TH ST BURLINGTON IA 52601,X,0,0,0,0,0,0,1,0
002332831,100 N 5TH ST BURLINGTON IA 52601,X,0,0,0,0,0,0,1,0
521699629,100 N CHESTNUT ST CRESTON IA 50801,X,0,0,0,0,0,0,1,0
843314592,100 N COMMERCE ST MONROE IA 50170,X,0,0,0,0,0,0,1,0
233125202,100 N COMMERCE ST MONROE IA 50170,X,0,0,0,0,0,0,1,0
669005266,100 N COMMERCE ST MONROE IA 50170,X,0,0,0,0,0,0,1,0
825413321,100 N COMMERCIAL ST REINBECK IA 50669,4,0,0,0,0,0,0,1,0
493597587,100 N ELM MARCUS IA 51035,X,0,0,0,0,0,0,1,0
422341094,100 N ELM ST JEFFERSON IA 50129,X,0,0,0,0,0,0,1,0
489367185,100 N FREDERICK AVE OELWEIN IA 50662,4,0,0,0,0,0,0,1,0
860266899,100 N HURON ST EMMETSBURG IA 50536,X,0,0,0,0,0,0,1,0
412087140,100 N LAFAYETTE ST KNOXVILLE IA 50138,X,0,0,0,0,0,0,1,0
860216845,100 N MAIN ODEBOLT IA 51458,4,0,0,0,0,0,0,1,0
860216845,100 N MAIN ST ODEBOLT IA 51458,4,0,0,0,0,0,0,1,0
906377080,100 N MAIN ST ODEBOLT IA 51458,4,0,0,0,0,0,0,1,0
896402989,100 N MAPLE ST LAMONI IA 50140,X,0,0,0,0,0,0,1,0
896402997,100 N MAPLE ST LAMONI IA 50140,X,0,0,0,0,0,0,1,0
384427589,100 N MAPLE ST LAMONI IA 50140,X,0,0,0,0,0,0,1,0
970113270,100 N PARK AVE WILLIAMSBURG IA 52361,X,0,0,0,0,0,0,1,0
548965029,100 N PARK AVE WILLIAMSBURG IA 52361,X,0,0,0,0,0,0,1,0
374554756,100 N RANSOM ST OTTUMWA IA 52501,X,0,0,0,0,0,0,1,0
711142067,100 N RANSOM ST OTTUMWA IA 52501,X,0,0,0,0,0,0,1,0
718195372,100 N RANSOM ST OTTUMWA IA 52501,X,0,0,0,0,0,0,1,0
427511254,100 N RUNGER SHELDON IA 51201,2,0,0,0,0,0,0,1,0
537823825,100 N U AVE VILLISCA IA 50864,X,0,0,0,0,0,0,1,0
537803116,100 NE STATE ST SAC CITY IA 50583,X,0,0,0,0,0,0,1,0
860214683,100 NE STATE ST SAC CITY IA 50583,X,0,0,0,0,0,0,1,0
251617841,100 NORKA DR AKRON IA 51001,2,0,0,0,0,0,0,1,0
626642904,100 NORKA DR AKRON IA 51001,2,0,0,0,0,0,0,1,0
433255290,100 NORKA DR AKRON IA 51001,2,0,0,0,0,0,0,1,0
595413436,100 OBRIAN ST CLINTON IA 52732,X,0,0,0,0,0,0,1,0
944010230,100 OCCO DR OELWEIN IA 50662,X,0,0,0,0,0,0,1,0
886709005,100 PARK AVE WILLIAMSBURG IA 52361,X,0,0,0,0,0,0,1,0
492116330,100 PARK SIOUX RAPIDS IA 50585,X,0,0,0,0,0,0,1,0
421223158,100 PARK SIOUX RAPIDS IA 50585,X,0,0,0,0,0,0,1,0
374658953,100 PARK ST OSAGE IA 50461,X,0,0,0,0,0,0,1,0
474137981,100 PARK ST OSAGE IA 50461,X,0,0,0,0,0,0,1,0
421223158,100 PARK ST SIOUX RAPIDS IA 50585,X,0,0,0,0,0,0,1,0
966308397,100 PENNSYLVANIA AVE OTTUMWA IA 52501,X,0,0,0,0,0,0,1,0
892518200,100 PROSPECT LN CHARLES CITY IA 50616,X,0,0,0,0,0,0,1,0
713109083,100 ROCKSYLVANIA AVE IOWA FALLS IA 50126,X,0,0,0,0,0,0,1,0
721048112,100 S 3RD ST MONTEZUMA IA 50171,X,0,0,0,0,0,0,1,0
629117268,100 S 5TH ST SAC CITY IA 50583,4,0,0,0,0,0,0,1,0
959940818,100 S CENTER ST MARSHALLTOWN IA 50158,X,0,0,0,0,0,0,1,0
425420072,100 S CLARK ST PELLA IA 50219,4,0,0,0,0,0,0,1,0
843478793,100 S COUNTY RD TOLEDO IA 52342,X,0,0,0,0,0,0,1,0
145625216,100 S COURT ST # 201 FAIRFIELD IA 52556,4,0,0,0,0,0,0,1,0
