NAME,ST,stabbr,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Hiawatha,Iowa,ia,7024,6480,4986,4825,2416,1336,0,0,0,0,0,0
Hills,Iowa,ia,703,679,662,547,507,310,248,232,211,231,195,0
Hillsboro,Iowa,ia,180,205,151,208,252,218,253,280,281,318,0,0
Hinton,Iowa,ia,928,808,697,659,488,403,345,340,289,263,329,0
Holland,Iowa,ia,282,250,215,278,258,264,221,202,175,165,168,175
Holstein,Iowa,ia,1396,1470,1449,1477,1445,1413,1336,1296,1300,1248,936,870
Holy Cross,Iowa,ia,374,339,304,310,290,157,139,123,111,98,143,115
Hopkinton,Iowa,ia,628,681,695,774,800,768,731,841,758,759,797,767
Hornick,Iowa,ia,225,253,222,239,250,275,310,291,309,296,245,284
Hospers,Iowa,ia,698,672,643,655,646,600,604,592,548,570,581,415
Houghton,Iowa,ia,146,130,127,124,119,0,0,0,0,0,0,0
Hubbard,Iowa,ia,845,885,814,852,846,806,836,779,795,681,568,676
Hudson,Iowa,ia,2282,2117,2037,2267,1535,1085,613,492,470,408,372,359
Hull,Iowa,ia,2175,1960,1724,1714,1523,1289,1127,1072,905,791,658,626
Humboldt,Iowa,ia,4690,4452,4438,4794,4665,4031,3219,2819,2251,2232,1809,1474
Humeston,Iowa,ia,494,543,553,671,673,638,750,903,924,1214,1006,945
Huxley,Iowa,ia,3317,2316,2047,1884,937,486,422,392,362,366,336,0
Ida Grove,Iowa,ia,2142,2350,2357,2285,2261,2265,2202,2238,2206,2020,1874,1967
Imogene,Iowa,ia,72,66,88,188,192,264,274,280,303,268,341,296
Independence,Iowa,ia,5966,6014,5972,6392,5910,5498,4865,4342,3691,3672,3517,3656
Indianola,Iowa,ia,14782,12998,11340,10843,8852,7062,5145,4123,3488,3628,3283,3261
Inwood,Iowa,ia,814,875,824,755,644,638,644,634,670,746,595,477
Ionia,Iowa,ia,291,277,304,350,270,265,301,283,246,280,293,306
Iowa City,Iowa,ia,67862,62220,59738,50508,46850,33443,27212,17182,15340,11267,10091,7987
Iowa Falls,Iowa,ia,5238,5193,5424,6174,6454,5565,4900,4425,4112,3954,2797,2840
Ireton,Iowa,ia,609,585,597,588,582,510,573,653,612,730,631,545
Irwin,Iowa,ia,341,372,394,427,446,425,381,345,357,311,278,295
Jackson Junction,Iowa,ia,58,60,87,94,106,89,107,122,126,130,160,171
Jamaica,Iowa,ia,224,237,232,275,271,256,303,283,311,295,379,0
Janesville,Iowa,ia,930,829,822,840,741,648,445,366,331,261,269,311
Jefferson,Iowa,ia,4345,4626,4292,4854,4735,4570,4326,4088,3431,3416,2477,2601
Jesup,Iowa,ia,2520,2212,2121,2343,1662,1488,1158,902,736,774,697,690
Jewell Junction,Iowa,ia,1215,1239,1106,1145,1152,1113,973,1051,950,1090,941,947
Johnston,Iowa,ia,17278,8649,4702,2526,222,0,0,0,0,0,0,0
