city_fips,st,place,p1980,p1990,p2000,p2010
1770590,Illinois,South Beloit city,4088,4072,5397,7892
1770629,Illinois,South Chicago Heights village,3932,3597,3970,4139
1770720,Illinois,South Elgin village,6218,7474,16100,21985
1770850,Illinois,South Holland village,24977,22105,22147,22030
1770889,Illinois,South Jacksonville village,3382,3187,3475,3331
1771175,Illinois,South Pekin village,1243,1184,1162,1146
1771240,Illinois,South Roxana village,2286,1961,1888,2053
1705437,Illinois,South Stickney (U),,,,
1705440,Illinois,South Streator,2334,,,
1771370,Illinois,South Wilmington village,747,698,621,681
1770759,Illinois,Southern View village,1306,1906,1695,1642
1771422,Illinois,Sparland village,624,412,504,406
1771448,Illinois,Sparta city,4957,4853,4486,4302
1771474,Illinois,Spaulding village,428,440,559,873
1771526,Illinois,Spillertown village,206,249,220,203
1771604,Illinois,Spring Bay village,496,439,436,452
1772052,Illinois,Spring Grove village,571,1066,3880,5778
1772156,Illinois,Spring Valley city,5822,5246,5398,5558
1771643,Illinois,Springerton village,154,166,134,110
1772000,Illinois,Springfield city,99637,105227,111454,116250
1766638,Illinois,St. Anne village,1421,1153,1212,1257
1766677,Illinois,St. Augustine village,204,151,152,120
1766703,Illinois,St. Charles city,17492,22501,27896,32974
1766768,Illinois,St. David village,786,603,587,589
1766794,Illinois,St. Elmo city,1611,1473,1456,1426
1766833,Illinois,St. Francisville city,1040,851,759,697
1766859,Illinois,St. Jacob village,792,752,801,1098
1766924,Illinois,St. Johns village,284,262,218,219
1766950,Illinois,St. Joseph village,1900,2052,2912,3967
1766989,Illinois,St. Libory village,549,525,583,615
1767132,Illinois,St. Peter village,372,353,386,359
1772234,Illinois,Standard City village,148,128,138,152
1772221,Illinois,Standard village,277,260,256,220
1772260,Illinois,Stanford village,720,620,670,596
1772403,Illinois,Staunton city,4744,4806,5030,5139
1766800,Illinois,Ste. Marie village,312,281,261,244
1772468,Illinois,Steeleville village,2240,2059,2077,2083
1772520,Illinois,Steger village,9269,8584,9682,9570
1772546,Illinois,Sterling city,16281,15132,15451,15370
1772624,Illinois,Steward village,298,282,271,256
1772650,Illinois,Stewardson village,745,660,747,734
1772676,Illinois,Stickney village,5893,5678,6148,6786
1772702,Illinois,Stillman Valley village,961,848,1048,1120
1772780,Illinois,Stockton village,1872,1871,1926,1862
1772923,Illinois,Stone Park village,4273,4383,5127,4946
1772884,Illinois,Stonefort village,316,311,292,297
1772949,Illinois,Stonington village,1184,1006,960,932
1773027,Illinois,Stoy village,167,135,119,104
1773040,Illinois,Strasburg village,488,473,603,467
1773131,Illinois,Strawn village,143,132,104,100
1773157,Illinois,Streamwood village,23456,30987,36407,39858
1773170,Illinois,Streator city,14791,14121,14190,13710
1773261,Illinois,Stronghurst village,865,799,896,883
1773287,Illinois,Sublette village,442,394,456,449
1773391,Illinois,Sugar Grove village,1366,2005,3909,8997
1773495,Illinois,Sullivan city,4526,4354,4326,4440
1773547,Illinois,Summerfield village,487,509,472,451
1773638,Illinois,Summit village,10110,9971,10637,11054
1773703,Illinois,Sumner city,1238,1083,1022,3174
1773943,Illinois,Sun River Terrace village,,532,383,528
1773885,Illinois,Sunnyside village,1432,1529,,
1705632,Illinois,Sunrise Ridge,752,,,
1774119,Illinois,Swansea village,5347,8201,10579,13430
