name,st,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Antwerp,Ohio,1736,1740,1677,1765,1735,1465,1162,1086,1024,1096,1187,1206
Apple Creek,Ohio,1173,999,860,741,784,722,548,510,459,382,400,387
Aquilla,Ohio,340,372,360,355,389,459,386,0,0,0,0,0
Arcadia,Ohio,590,537,546,580,689,610,529,481,490,376,380,425
Arcanum,Ohio,2129,2076,1953,2002,1993,1678,1530,1188,1149,1311,1361,1225
Archbold,Ohio,4346,4290,3440,3318,3047,2348,1486,1236,1185,1125,1082,958
Arlington Heights,Ohio,745,899,1084,1082,1403,1355,1312,1222,1214,730,468,360
Arlington,Ohio,1455,1351,1267,1187,1066,955,825,752,701,606,798,738
Ashland,Ohio,20362,21249,20079,20326,19872,17419,14287,12453,11141,9249,6795,4087
Ashley,Ohio,1330,1216,1059,1057,1034,907,798,762,734,786,706,700
Ashtabula,Ohio,19124,20962,21633,23449,24313,24559,23696,21405,23301,22082,18266,12949
Ashville,Ohio,4097,3174,2254,2046,1772,1639,1303,1101,1085,1032,972,654
Athalia,Ohio,373,328,346,367,287,341,307,263,205,233,226,346
Athens,Ohio,23832,21342,21265,19743,24168,16470,11660,7696,7252,6418,5463,3066
Attica,Ohio,899,955,944,865,1005,965,858,780,783,658,719,694
Aurora,Ohio,15548,13556,9192,8177,6549,4009,571,518,0,0,0,0
Avon,Ohio,21193,11446,7337,7241,7214,6002,2773,2118,1826,1460,0,0
Avon Lake,Ohio,22581,18145,15066,13222,12261,9403,4342,2274,1610,904,0,0
Bailey Lakes,Ohio,371,397,367,397,394,0,0,0,0,0,0,0
Bainbridge,Ohio,860,1012,968,1042,1057,1001,964,913,735,862,883,954
Bairdstown,Ohio,130,130,130,151,138,182,188,176,172,158,240,298
Baltic,Ohio,795,743,659,563,571,537,493,492,545,406,377,0
Baltimore,Ohio,2966,2881,2971,2689,2418,2116,1843,835,720,566,551,460
Barberton,Ohio,26550,27899,27623,29751,33052,33805,27820,24028,23934,18811,9410,4354
Barnesville,Ohio,4193,4225,4326,4633,4292,4425,4665,5002,4602,4865,4233,3721
Barnhill,Ohio,396,364,313,327,339,350,392,394,438,513,506,811
Batavia,Ohio,1509,1617,1700,1896,1894,1729,1445,1320,1119,1088,1034,1029
Batesville,Ohio,71,100,95,129,148,160,149,194,214,220,282,312
Bay View,Ohio,632,692,739,804,798,802,0,0,0,0,0,0
Bay Village,Ohio,15651,16087,17000,17846,18163,14489,6917,3356,2294,751,450,0
Beach City,Ohio,1033,1137,1051,1083,1133,1151,940,812,725,658,671,364
Beachwood,Ohio,11953,12186,10677,9983,9631,6089,1073,372,249,225,0,0
Beallsville,Ohio,409,423,464,601,452,441,410,450,479,555,564,554
Beaver,Ohio,449,464,336,330,317,341,285,305,295,278,286,262
Beavercreek,Ohio,45193,37984,33626,31589,0,0,0,0,0,0,0,0
Beaverdam,Ohio,382,356,467,492,525,514,450,377,360,394,455,477
Bedford,Ohio,13074,14214,14822,15056,17552,15223,9105,7390,6814,2677,1783,1486
Bedford Heights,Ohio,10751,11375,12131,13214,13063,5275,0,0,0,0,0,0
Bellaire,Ohio,4278,4892,6028,8241,9655,11502,12573,13799,13327,15061,12946,9912
Bellbrook,Ohio,6943,7009,6511,5174,1268,941,425,410,389,286,283,352
